MESA,TOTALMESAS,ELECTORES,EMITIDOS,PORCENTAJE,COLEGIO,COMUNA,CIRCUNSCRIPCION,APRUEBO,RECHAZO
18M,1,344,174,50.58,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,139,34
19M,1,343,189,55.1,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,157,30
20M,1,337,178,52.82,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,148,28
21M,1,343,181,52.77,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,148,32
22M,1,339,183,53.98,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,154,29
23M,1,342,174,50.88,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,143,31
24M,1,341,166,48.68,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,133,31
25M,1,342,193,56.43,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,152,41
26M,1,339,179,52.8,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,135,43
27M,1,332,165,49.7,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ALTO HOSPICIO,ALTO HOSPICIO,137,28
27V,1,341,160,46.92,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,127,32
28V,1,344,168,48.84,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,136,30
29V,1,341,167,48.97,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,136,30
30V,1,342,182,53.22,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,136,30
31V,1,333,159,47.75,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,146,35
32V,1,341,143,41.94,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,116,27
38,1,322,104,32.3,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,80,24
39,1,323,97,30.03,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,82,14
40,1,332,119,35.84,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,99,20
41,1,335,126,37.61,COLEGIO MARISTA HERMANO FERNANDO,ALTO HOSPICIO,ALTO HOSPICIO,90,35
